# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-SNAPSHOT

ajuda.mensagem::j4ilson_dlc, boolean, 01
almas.<player>, long, 0000000000000000
almas.j4ilson_dlc, double, 3FF0000000000000
almas.theflash00, double, 4031000000000000
cestabasica.delay::j4ilson_dlc, date, 810974696D657374616D70040000015C92A156E3
chave.<player>, long, 0000000000000000
chave.j4ilson_dlc, double, 0000000000000000
coins.<player>, long, 0000000000000000
deaths.<player>, long, 0000000000000000
esperar.delay::j4ilson_dlc, date, 810974696D657374616D70040000015CC2950487
ff.list.j4ilson_dlc, boolean, 00
forca::j4ilson_dlc, date, 810974696D657374616D70040000015C9D980CE9
inicio.parkur, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C080BE0D09C499500179094050C00000000000017A09C02C0CDBE86E040005706974636808C10D99B5037961770841798EE0
kills.<player>, long, 0000000000000000
killstreak.<player>, long, 0000000000000000
level.j4ilson_dlc, integer, 000028B9
level.theflash00, integer, 00000000
lobby.parkur, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C080ABB61C03BBA90179094051000000000000017A09C0365CAFA432F0C40570697463680840A3332F037961770843B32C9A
mineradoruiui.j4ilson_dlc, boolean, 00
money.<player>, long, 0000000000000000
nb.itemsell.j4ilson_dlc, double, 4050000000000000
nb.itemsell.money.j4ilson_dlc, double, 4050000000000000
nb.itemsell.money.theflash00, double, 401C000000000000
nb.itemsell.theflash00, double, 401C000000000000
pulo::j4ilson_dlc, date, 810974696D657374616D70040000015C9D981252
quebreialmainfernal.<player>, long, 0000000000000000
quebreicarvando.<player>, long, 0000000000000000
quebreifazendeiro.<player>, long, 0000000000000000
quebreilenhando.<player>, long, 0000000000000000
quebreiminerando.<player>, long, 0000000000000000
quebreiminerando.j4ilson_dlc, double, 4083400000000000
quebreiminereivip.<player>, long, 0000000000000000
quebreiminereivip.j4ilson_dlc, double, 4043800000000000
saida.parkur, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C080C599999800000179094051000000000000017A09C03C4CCCCD00000005706974636808BFC0015D03796177084335CC63
tnt::j4ilson_dlc, date, 810974696D657374616D70040000015C9D8F317C
trabalho.j4ilson_dlc, string, 800C4D696E657261646F72564950
xp.j4ilson_dlc, integer, 1CD8090A

